Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
b-eb-t5-28w-philips,ELECTRONIC BALLAST T5 28W - PHILIPS,Title,Default Title,,,,,+B EB T5/28W PHILIPS,,,,,,,,,,2
b-eb-t5-2x54w-os-ram,OSRAM 2X54W 220-240V T5 ELECTRONIC FLUO BALLAST,Title,Default Title,,,,,+B EB T5/2X54W OS RAM,,,,,,,,,,0
b-eb-t5-54w-osram,OSRAM 1x54W 220-240V T5 ELECTRONIC FLUO BALLAST,Title,Default Title,,,,,+B EB T5/54W OSRAM,,,,,,,,,,0
b-eb1-0150-b011-t,ELECTRONIC BALLAST 150W MH (PCI 0150 B011) - TRIDONIC,Title,Default Title,,,,,+B EB1/0150/B011/T,,,,,,,,,,0
b-eb113plc-philips,ELECTRONICS BALLAST (1X13W PLC) - PHILIPS,Title,Default Title,,,,,+B EB113PLC PHILIPS,,,,,,,,,,0
b-eb118plc-philips,ELECTRONIC BALLAST (1X18W PLC) - PHILIPS,Title,Default Title,,,,,+B EB118PLC PHILIPS,,,,,,,,,,0
b-eb118plc-vos,Electronic Ballast 1xPLC18W (540421) VOS-SWB,Title,Default Title,,,,,+B EB118PLC VOS,,,,,,,,,,0
b-eb118tld-philips,ELECTRONIC BALLAST EBC 118TL-D 1x20W (PLL) - PHILIPS,Title,Default Title,,,,,+B EB118TLD PHILIPS,,,,,,,,,,4
b-eb126plc-phlips,ELECTRONICS BALLAST (1X26W PLC) - PHILIPS,Title,Default Title,,,,,+B EB126PLC PHLIPS,,,,,,,,,,0
b-eb-14,ELECTRONIC BALLAST EB-14 FOR PLC 13W (LANDLITE),Title,Default Title,,,,,+B EB-14,,,,,,,,,,1
b-eb-18,ELECTRONIC BALLAST EB-18 FOR T5 2X8W (LANDLITE),Title,Default Title,,,,,+B EB-18,,,,,,,,,,3
b-eb1x9-13plc-os-ram,ELECTRONIC BALLAST (1X9-13W) - OSRAM,Title,Default Title,,,,,+B EB1X9-13PLC OS RAM,,,,,,,,,,0
b-eb213plc-philips,ELECTRONICS BALLAST (2X13PLC) - PHILIPS,Title,Default Title,,,,,+B EB213PLC PHILIPS,,,,,,,,,,0
b-eb218plc-dali,TRIDONIC PCA ELECTRONIC BALLAST 2X18 PLC TC EXCEL,Title,Default Title,,,,,+B EB218PLC DALI,,,,,,,,,,0
b-eb218plc-philips,ELECTRONICS BALLAST (2X18WPLC) - PHILIPS EBC,Title,Default Title,,,,,+B EB218PLC PHILIPS,,,,,,,,,,0
b-eb218plc-vos,VOS-SWB ELECTRONIC BALLAST PLC 2X18W (183136),Title,Default Title,,,,,+B EB218PLC VOS,,,,,,,,,,4
b-eb226plc-philips,ELECTRONICS BALLAST (2X26WPLC) - PHILIPS,Title,Default Title,,,,,+B EB226PLC PHILIPS,,,,,,,,,,0
b-ebc-t5-228w-phi-lips,ELECTRONIC BALLAST EBC/T5 2X28W - PHILIPS,Title,Default Title,,,,,+B EBC T5/228W PHI LIPS,,,,,,,,,,0
b-eb-pt5-14-35w-philips,ELECTRONIC BALLAST T5 1*14-35W EB-P - PHILIPS,Title,Default Title,,,,,+B EB-PT5/14-35W PHILIPS,,,,,,,,,,0
b-ecxd700g-119,DIMMABLE LED DRIVER ECXd700G.119 CONST,Title,Default Title,,,,,+B ECXd700G.119,,,,,,,,,,0
b-ed126plt-c-phili-ps,ELECTRONIC DIMMABLE BALLAST 72AR2 1x26W PLT/C,Title,Default Title,,,,,+B ED126PLT/C PHILI PS,,,,,,,,,,0
b-ed218plc-atco,ELECTRONIC DIMMABLE BALLAST (2X18PLC) - ATCO,Title,Default Title,,,,,+B ED218PLC ATCO,,,,,,,,,,0
b-ed218plc-ph,ELECTRONICS DIMMABLE BALLAST 2X18W (PLC) -,Title,Default Title,,,,,+B ED218PLC PH,,,,,,,,,,0
b-ed218plc-vos,VOSSLOH ELXd 218.803 DIMMABLE ELECTRONIC,Title,Default Title,,,,,+B ED218PLC VOS,,,,,,,,,,0
b-edt5-154-vos,VOSSLOH ELXd 154.611 DIMMABLE ELECTRONIC,Title,Default Title,,,,,+B EDT5/154 VOS,,,,,,,,,,0
b-edt5-228-ph,DIMMABLE ELECTRONIC BALLAST 2xT5 28W PHILIPS,Title,Default Title,,,,,+B EDT5/228 PH,,,,,,,,,,0
b-edt5-254-vos,VOSSLOH ELXd 254.612 DIMMABLE ELECTRONIC,Title,Default Title,,,,,+B EDT5/254 VOS,,,,,,,,,,0
b-ele-100w-tdk,AC/DC POWERSUPPLY TDK LAMBDA HWS-100-12/A,Title,Default Title,,,,,+B ELE 100W TDK,,,,,,,,,,0
b-ele-118-t8,T8 ELECTRONIC BALLAST 18W - EI,Title,Default Title,,,,,+B ELE 118(T8),,,,,,,,,,26
b-ele-118sh-plc-p-lt,PLC/PLT 1*18W ELECTRONIC BALLAST - PHILIPS,Title,Default Title,,,,,+B ELE 118SH PLC/P LT,,,,,,,,,,6
b-ele-12v50w,12V 50W ELECTRONIC TRANSFORMER - JINDEL,Title,Default Title,,,,,+B ELE 12V50W,,,,,,,,,,0
b-ele-13-t4,T4 ELECTRONIC BALLAST 13W - OES,Title,Default Title,,,,,+B ELE 13(T4),,,,,,,,,,4
b-ele-13-t5,T5 ELECTRONIC BALLAST 13W - OES,Title,Default Title,,,,,+B ELE 13(T5),,,,,,,,,,62
b-ele-136-t8,T8 1X36W ELECTRONIC BALLAST - MEGAMAN,Title,Default Title,,,,,+B ELE 136(T8),,,,,,,,,,1
b-ele-18-t4,T4 ELECTRONIC BALLAST 18W - OES,Title,Default Title,,,,,+B ELE 18(T4),,,,,,,,,,2
b-ele-18w-eb-e,18W TLD ELECTRONICS BALLAST EB-E - PHILIPS,Title,Default Title,,,,,+B ELE 18W EB-E,,,,,,,,,,0
b-ele-18wqt-p,1X18W T8 FLUO ELECTRONIC BAL. - OSRAM,Title,Default Title,,,,,+B ELE 18WQT-P,,,,,,,,,,0
b-ele-209-pl,PL ELECTRONIC BALLAST 2X9W - EI,Title,Default Title,,,,,+B ELE 209(PL),,,,,,,,,,19
b-ele-21-2d-ak,2D ELECTRONIC BALLAST 21W (INC HOLDER) - AKIRA,Title,Default Title,,,,,+B ELE 21(2D)AK,,,,,,,,,,17
b-ele-218-t8,T8 ELECTRONIC BALLAST 2X18W - PHILIPS (EB-2S18),Title,Default Title,,,,,+B ELE 218(T8),,,,,,,,,,0
b-ele-22-t4,T4 ELECTRONIC BALLAST 22W - OES,Title,Default Title,,,,,+B ELE 22(T4),,,,,,,,,,0
b-ele-22-loyal,ELECTRONIC BALLAST 22W -LOYAL,Title,Default Title,,,,,+B ELE 22/LOYAL,,,,,,,,,,6
b-ele-228-t5,T5 ELECTRONIC BALLAST 2X28W - EI,Title,Default Title,,,,,+B ELE 228(T5),,,,,,,,,,12
b-ele-24w,24W ELECTRONIC BALLAST(PLL),Title,Default Title,,,,,+B ELE 24W,,,,,,,,,,40
b-ele-2x36w-eb-e-philips,2X36W ELECTRONIC BALLAST EB-E PHILIPS,Title,Default Title,,,,,+B ELE 2X36W EB-E PHILIPS,,,,,,,,,,0
b-ele-32w-rd-dk,CIR 32W ELECTRONIC BALLAST (RD) - DK,Title,Default Title,,,,,+B ELE 32W RD/DK,,,,,,,,,,283
b-ele-32w-rect-dk,CIR 32W ELECTRONIC BALLAST (RECT) - DK,Title,Default Title,,,,,+B ELE 32W RECT/DK,,,,,,,,,,171
b-ele-36-t4,T4 ELECTRONIC BALLAST 36W - OES,Title,Default Title,,,,,+B ELE 36(T4),,,,,,,,,,24
b-ele-36w,36W ELECTRONIC BALLAST (PLL),Title,Default Title,,,,,+B ELE 36W,,,,,,,,,,71
b-ele-36w-safer,1X36W ELECTRONIC BALLAST -SAFER,Title,Default Title,,,,,+B ELE 36W - SAFER,,,,,,,,,,0
b-ele-36w-eb-e,36W TLD ELECTRONIC BALLAST EB-E - PHILIPS,Title,Default Title,,,,,+B ELE 36W EB-E,,,,,,,,,,4
b-ele-38-2d,2D ELE. BALLAST 38W C/W HOLDER,Title,Default Title,,,,,+B ELE 38/2D,,,,,,,,,,0
b-ele-38-2d-ak,2D ELE. BALLAST 38W C/W HOLDER - AKIRA,Title,Default Title,,,,,+B ELE 38/2D-AK,,,,,,,,,,1
