sku,handle,source row,title,reason,remote handle match
A3 BL804714 IP,a3-bl804714-ip,4232,A3 BL 804714 c/w 1*PLCT 18W Electronic Ballast (IP54),no remote variant with matching SKU,no
A3 BLHOO.14-60,a3-blhoo-14-60,4233,A3 BLHOO.14-60 SILVER GREY C/W 1XPL11 BALLAST,no remote variant with matching SKU,no
A3 BLHOO.14-90 GY,a3-blhoo-14-90-gy,4234,A3 BL HOO.14-900mm Grey,no remote variant with matching SKU,no
A3 BLHOO.16-30,a3-blhoo-16-30,4235,A3 BLHOO.16-30 SILVER GREY (E27),no remote variant with matching SKU,no
A3 BLHOO.24/400,a3-blhoo-24-400,4236,A3 BLHOO.24/400MM GREY (PAR 20 50W),no remote variant with matching SKU,no
A3 BLHOO.24/900,a3-blhoo-24-900,4237,A3 BLHOO.24/900MM GREY (PAR 20 50W),no remote variant with matching SKU,no
A3 BLHOO.25SPIK,a3-blhoo-25spik,4238,A3 BLHOO.25 SPIKE GREY (GU10 35W),no remote variant with matching SKU,no
A3 BLHOO.2A-60,a3-blhoo-2a-60,4239,A3 BL HOO.2A-60 GREY c/w 1xPLC18W Gear,no remote variant with matching SKU,no
A3 BLHOO.2B-90,a3-blhoo-2b-90,4240,A3 BL HOO.2B-90 (900MM) GREY c/w 1 x PLC 18W Gear,no remote variant with matching SKU,no
A3 BLHOO.31-30 ALU,a3-blhoo-31-30-alu,4241,A3 BL HOO.31-30 ALUMINIUM IP54 (GU 10),no remote variant with matching SKU,no
A3 BLHOO.35-60 AL,a3-blhoo-35-60-al,4242,A3 BL HOO.35-60 Aluminium (IP54) GU10,no remote variant with matching SKU,no
A3 BLHOO.3L-30,a3-blhoo-3l-30,4243,A3 BLHOO.3L-30 SILVER GREY C/W 1X18WPLC BALLAST,no remote variant with matching SKU,no
A3 BLHOO.4L-40,a3-blhoo-4l-40,4244,A3 BLHOO.4L-40 SILVER GREY C/W 1X18WPLC BALLAST,no remote variant with matching SKU,no
A3 BLHOO.4L-40 ALU,a3-blhoo-4l-40-alu,4245,A3 BL HOO.4L-40 ALUMINIUM IP54 c/w 1xPLC18W BALLAST,no remote variant with matching SKU,no
A3 BLHOO.4S-30,a3-blhoo-4s-30,4246,A3 BLHOO.4S-30 SILVER GREY C/W 1X18WPLC BALLAST,no remote variant with matching SKU,no
A3 BLHOO.5S-30,a3-blhoo-5s-30,4247,A3 BLHOO.5S-30 SILVER GREY (GU 10),no remote variant with matching SKU,no
A3 BLHOO.9-30,a3-blhoo-9-30,4248,A3 BLHOO.9-30 SILVER GREY (E27),no remote variant with matching SKU,no
A3 CL160011 IP,a3-cl160011-ip,4249,A3 CL 160011 Square IP54 (1*GX53 Led 9W),no remote variant with matching SKU,no
A3 CL160211 IP,a3-cl160211-ip,4250,A3 CL160211 Round IP54 (1*GX53 9W),no remote variant with matching SKU,no
A3 CL612011 WH WW,a3-cl612011-wh-ww,4251,A3 CL 612011 White c/w 4*1W WW LED Lamp & LRVC9 Gear,no remote variant with matching SKU,no
A3 CL612021 ALU WW,a3-cl612021-alu-ww,4252,A3 CL 612021 Aluminium c/w 8*1W WW LED Lamp & LMVC8A,no remote variant with matching SKU,no
A3 CL612021 WH WW,a3-cl612021-wh-ww,4253,A3 CL 612021 White c/w 8*1W WW LED Lamp & LMVC8A,no remote variant with matching SKU,no
A3 CL6128L11,a3-cl6128l11,4254,A3 CL 612811 Aluminium c/w AC1*4W WW LED,no remote variant with matching SKU,no
A3 CL620111 ALU WW,a3-cl620111-alu-ww,4255,A3 CL 620111 Aluminium c/w 3*1W WW LED Lamp & LSVC3A,no remote variant with matching SKU,no
A3 CL620111 WH WW,a3-cl620111-wh-ww,4256,A3 CL 620111 White c/w 3*1W WW LED Lamp & LSVC3A Driver,no remote variant with matching SKU,no
A3 CL620211 AL WW,a3-cl620211-al-ww,4257,A3 CL 620211 Aluminium c/w 6*1W WW LED Lamp & LMVC8A,no remote variant with matching SKU,no
A3 CL620211 WH WW,a3-cl620211-wh-ww,4258,A3 CL 620211 White c/w 6*1W WW LED Lamp & LMVC8A,no remote variant with matching SKU,no
A3 CL621111 BK,a3-cl621111-bk,4259,A3 CL 621111 Black c/w 1*8W WW LED,no remote variant with matching SKU,no
A3 CL621111 WH,a3-cl621111-wh,4260,A3 CL 621111 White c/w 1*8W WW LED Lamp,no remote variant with matching SKU,no
A3 CL621811 WH,a3-cl621811-wh,4261,A3 CL 621811 White c/w AC1*4W WW LED,no remote variant with matching SKU,no
A3 CL621911 WH,a3-cl621911-wh,4262,A3 CL 621911 White c/w AC1*4W WW LED,no remote variant with matching SKU,no
A3 CL623381 WH RD WW,a3-cl623381-wh-rd-ww,4263,A3 CL 623381 WHITE (RD) c/w AC 4W (SAMSUNG) LED (3000K),no remote variant with matching SKU,no
A3 CL623391 WH SQ WW,a3-cl623391-wh-sq-ww,4264,A3 CL 623391 WHITE (SQ) c/w AC 4W (SAMSUNG) LED (3000K),no remote variant with matching SKU,no
A3 CL623811 WH WW,a3-cl623811-wh-ww,4265,A3 CL 623811 WHITE c/w 7W (SHARP) LED (3000K) & DRIVER,no remote variant with matching SKU,no
A3 CL629011-IP65 BK,a3-cl629011-ip65-bk,4266,A3 CL 629011-IP65 BLACK C/W 12W WW LED (EDISON) & DR,no remote variant with matching SKU,no
A3 CL629111-IP65 BK,a3-cl629111-ip65-bk,4267,A3 CL 629111-IP65 BLACK C/W 12W WW LED (EDISON) & DR,no remote variant with matching SKU,no
A3 CL629311-IP54 BK,a3-cl629311-ip54-bk,4268,A3 CL 629311-IP54 BLACK C/W AC 10W 3000K CITIZEN LED,no remote variant with matching SKU,no
A3 CL629311-IP54 WH,a3-cl629311-ip54-wh,4269,A3 CL 629311-IP54 WHITE C/W AC 10W 3000K CITIZEN LED,no remote variant with matching SKU,no
A3 CL62AA91 WH,a3-cl62aa91-wh,4270,A3 CL 62AA91 WHITE C/W 21W 3000K LUMILEDS LED & DR,no remote variant with matching SKU,no
A3 CL62AM31-3K WH,a3-cl62am31-3k-wh,4271,A3 CL 62AM31 MATT WHITE C/W 15W 3000K LED & DR (DIM),no remote variant with matching SKU,no
A3 CL62AM31-4K WH,a3-cl62am31-4k-wh,4272,A3 CL 62AM31 MATT WHITE C/W 15W 4000K LED & DR (DIM),no remote variant with matching SKU,no
A3 CL62AM31-4K-ND WH,a3-cl62am31-4k-nd-wh,4273,A3 CL 62AM31 MATT WHITE C/W 15W 4000K LED & DR (NON-,no remote variant with matching SKU,no
A3 CL62D821 WH,a3-cl62d821-wh,4274,A3 CL 62D821 White C/W 2*10W WW LED & DRIVER,no remote variant with matching SKU,no
A3 CL62E021 GY WW,a3-cl62e021-gy-ww,4275,A3 CL 62E021 GREY C/W 2*10W 3000K LED (SHARP) & DRIVER,no remote variant with matching SKU,no
A3 CL62T101-DIM WH,a3-cl62t101-dim-wh,4276,A3 CL 62T101-DIM MATT WH+CREAMY WH GLASS 9W,no remote variant with matching SKU,no
A3 CL62T701 WH,a3-cl62t701-wh,4277,A3 CL 62T701 MATT WH+CREAMY WH GLASS 15W,no remote variant with matching SKU,no
A3 CL62V311 BK/GD,a3-cl62v311-bk-gd,4278,A3 CL YL62V311 BLACK/GOLD 45° C/W 15W 3000K LUMILEDS,no remote variant with matching SKU,no
A3 CL62V311 WH/BK,a3-cl62v311-wh-bk,4279,A3 CL YL62V311 WHITE/BLACK 45° C/W 15W 3000K LUMILEDS,no remote variant with matching SKU,no
A3 CL62V711 BK/BK,a3-cl62v711-bk-bk,4280,A3 CL YL62V711 BLACK/BLACK 45° C/W 15W 3000K LUMILEDS,no remote variant with matching SKU,no
A3 CL62V711 WH/BK,a3-cl62v711-wh-bk,4281,A3 CL YL62V711 WHITE/BLACK 45° C/W 15W 3000K LUMILEDS,no remote variant with matching SKU,no
A3 CL64AN41-IP65 BK,a3-cl64an41-ip65-bk,4282,A3 CL 64AN41-IP65 BLACK C/W AC10W 3000K EDISON LED,no remote variant with matching SKU,no
A3 CL653R11 WH,a3-cl653r11-wh,4283,A3 CL 653R11 WHITE C/W 15W 3000K LED (CITIZEN) &,no remote variant with matching SKU,no
A3 CL659521 WH,a3-cl659521-wh,4284,A3 CL 659521 White c/w AC 2*4WW LED,no remote variant with matching SKU,no
A3 CLMETEOR.1,a3-clmeteor-1,4285,A3 CLMETEOR.1 (G9),no remote variant with matching SKU,no
A3 CLMETEOR.2,a3-clmeteor-2,4286,A3 CLMETEOR.2 (2XG9),no remote variant with matching SKU,no
A3 CLOX.13,a3-clox-13,4287,A3 CLOX.13 (1XGU 10),no remote variant with matching SKU,no
A3 CLOX.13A,a3-clox-13a,4288,A3 CLOX.13A (GU10),no remote variant with matching SKU,no
A3 CLOX.13AC,a3-clox-13ac,4289,A3 CL OX.13AC Aluminium (1*GU10 35W),no remote variant with matching SKU,no
A3 CLOX.13AC WH,a3-clox-13ac-wh,4290,A3 CL OX.13AC White (MR16),no remote variant with matching SKU,no
A3 CLOX.13AN,a3-clox-13an,4291,A3 CL OX.13AN,no remote variant with matching SKU,no
A3 CLOX.13B,a3-clox-13b,4292,A3 CLOX.13B (2XGU10),no remote variant with matching SKU,no
A3 CLOX.13BC ALU,a3-clox-13bc-alu,4293,A3 CLOX.13BC Aluminium (2xGU 10 35W),no remote variant with matching SKU,no
A3 CLOX.13BC WH,a3-clox-13bc-wh,4294,A3 CLOX.13BC WHITE (2XGU10 35W),no remote variant with matching SKU,no
A3 CLOX.13C,a3-clox-13c,4295,A3 CLOX.13C (3XGU10),no remote variant with matching SKU,no
A3 CLOX.13D,a3-clox-13d,4296,A3 CLOX.13D (4XGU10),no remote variant with matching SKU,no
A3 CLOX.19,a3-clox-19,4297,A3 CLOX.19 (G9 Led),no remote variant with matching SKU,no
A3 CLOX.1B,a3-clox-1b,4298,A3 CL OX.1B,no remote variant with matching SKU,no
A3 CLOX.23,a3-clox-23,4299,A3 CLOX.23 (GU10),no remote variant with matching SKU,no
A3 CLOX.42 IP,a3-clox-42-ip,4300,A3 CL OX.42 ROUND GX53 Led 9W IP54,no remote variant with matching SKU,no
A3 CLOX.43 IP,a3-clox-43-ip,4301,A3 CL OX.43 SQUARE GX53 LED 9W (IP54),no remote variant with matching SKU,no
A3 CLOX.9,a3-clox-9,4302,A3 CLOX.9 (1XE14),no remote variant with matching SKU,no
A3 CLTITAN.2,a3-cltitan-2,4303,A3 CLTITAN.2 (2XQR111),no remote variant with matching SKU,no
A3 CLTROOP.1,a3-cltroop-1,4304,A3 CLTROOP.1 (1XG9),no remote variant with matching SKU,no
A3 CLTS.01 GREY,a3-clts-01-grey,4305,A3 CLTS.01 GREY C/W T5 LAMP,no remote variant with matching SKU,no
A3 CM62Y611 WH,a3-cm62y611-wh,4306,A3 CM 62Y611 WHITE C/W 36W 3000K EDISON LED & DR,no remote variant with matching SKU,no
A3 CMLAMP.04E/327 MM,a3-cmlamp-04e-327-mm,4307,A3 CMLAMP.04E/327MM (1XE27),no remote variant with matching SKU,no
A3 CMLAMP.04E/450 MM,a3-cmlamp-04e-450-mm,4308,A3 CMLAMP.04E/450MM,no remote variant with matching SKU,no
A3 CMLAMP.04E/580 MM,a3-cmlamp-04e-580-mm,4309,A3 CMLAMP.04E/580MM (1XE27),no remote variant with matching SKU,no
A3 CMTLB.2,a3-cmtlb-2,4310,A3 CMTLB.2 C/W 2XELE. TRANSFORMER,no remote variant with matching SKU,no
A3 DL100111 ALU TL,a3-dl100111-alu-tl,4311,A3 DL100111 Black/Aluminium Trimless,no remote variant with matching SKU,no
A3 DL100111 BK TL,a3-dl100111-bk-tl,4312,A3 DL 100111 Black/Black Trimless (MR16),no remote variant with matching SKU,no
A3 DL100221 BK TL,a3-dl100221-bk-tl,4313,A3 DL 100221 Black/Black Trimless (2xMR16),no remote variant with matching SKU,no
A3 DL106911 ALUM,a3-dl106911-alum,4314,"A3 DL 106911 ALUM, MR16, ALUM W BLACK INTERIOR",no remote variant with matching SKU,no
A3 DL106911 WH/BK,a3-dl106911-wh-bk,4315,"A3 DL 106911 WH/BK, MR16, WHITE W BLACK INTERIOR.",no remote variant with matching SKU,no
A3 DL107021 ALUM,a3-dl107021-alum,4316,"A3 DL 107021 ALUM, 2XMR16, ALUM W BLACK INTERIOR",no remote variant with matching SKU,no
A3 DL107021 WH/BK,a3-dl107021-wh-bk,4317,"A3 DL 107021 WH/BK, 2XMR16, WHITE W BLACK INTERIOR",no remote variant with matching SKU,no
A3 DL107021 WH/WH,a3-dl107021-wh-wh,4318,"A3 DL 107021 WH/WH, 2XMR16, WHITE W WHITE INTERIOR",no remote variant with matching SKU,no
A3 DL107131 ALUM,a3-dl107131-alum,4319,"A3 DL 107131 ALUM, 3XMR16, ALUM W BLACK INTERIOR",no remote variant with matching SKU,no
A3 DL107131 WH/BK,a3-dl107131-wh-bk,4320,"A3 DL 107131 WH/BK, 3XMR16, WHITE W BLACK INTERIOR",no remote variant with matching SKU,no
A3 DL122611,a3-dl122611,4321,A3 DL 122611 Icestone Round (1*GX53 9W Led),no remote variant with matching SKU,no
A3 DL122711,a3-dl122711,4322,A3 DL 122711 Square (1*GX53 9W),no remote variant with matching SKU,no
A3 DL610C91/WW,a3-dl610c91-ww,4323,A3 DL 610C91 C/W 12W 3000K CRI 90 & DR,no remote variant with matching SKU,no
A3 DL610P91 WH CW,a3-dl610p91-wh-cw,4324,A3 DL 610P91 MATT WHITE C/W 15W 4000K LED & 400mA 0-10V,no remote variant with matching SKU,no
A3 DL610Q11 BK WW,a3-dl610q11-bk-ww,4325,A3 DL 610Q11 BLACK C/W COB 18W 3000K LED (SHARP) &,no remote variant with matching SKU,no
A3 DL610Q11 GY WW,a3-dl610q11-gy-ww,4326,A3 DL 610Q11 GREY C/W COB 18W 3000K LED (SHARP) &,no remote variant with matching SKU,no
A3 DL610Q11 WH,a3-dl610q11-wh,4327,A3 DL 610Q11 WHITE C/W COB 18W 3000K LED (SHARP) &,no remote variant with matching SKU,no
A3 DL610Q11 WH CW,a3-dl610q11-wh-cw,4328,A3 DL610Q11 WHITE C/W COB 18W 4000K LED (SHARP) &,no remote variant with matching SKU,no
A3 DL610Q91 WH CW,a3-dl610q91-wh-cw,4329,A3 DL 610Q91 MATT WHITE C/W 25W 4000K LED & 700mA 0-,no remote variant with matching SKU,no
A3 DL610R91/WW,a3-dl610r91-ww,4330,A3 DL 610R91 C/W 18W 3000K CRI 90 & DR,no remote variant with matching SKU,no
A3 DL610T91/WW,a3-dl610t91-ww,4331,A3 DL 610T91 C/W 5W 3000K LED CRI 90 & DR,no remote variant with matching SKU,no
A3 DL610W91/3K WH /MBK,a3-dl610w91-3k-wh-mbk,4332,A3 DL 610W91 WHITE/MATT BLACK C/W 15W 3000K LED &,no remote variant with matching SKU,no
A3 DL610W91/5K WH /MBK,a3-dl610w91-5k-wh-mbk,4333,A3 DL 610W91 WHITE/MATT BLACK C/W 15W 5000K LED &,no remote variant with matching SKU,no
A3 DL610W91/TC WH /MBK,a3-dl610w91-tc-wh-mbk,4334,A3 DL 610W91 WHITE/ MATT BLACK C/W 15W LED 3000K-,no remote variant with matching SKU,no
A3 DL610W91-ASS13,a3-dl610w91-ass13,4335,A3 DL 610W91-ASS13 WHITE/BLACK C/W 15W,no remote variant with matching SKU,no
A3 DL614311 AL,a3-dl614311-al,4336,A3 DL 614311 Square Aluminium c/w 1*13W WW LED,no remote variant with matching SKU,no
A3 DL614311 WH,a3-dl614311-wh,4337,A3 DL 614311 Square White c/w 1*13W WW LED,no remote variant with matching SKU,no
A3 DL614411 AL,a3-dl614411-al,4338,A3 DL 614411 Round Aluminium c/w 1*13W WW LED,no remote variant with matching SKU,no
A3 DL614411 WH,a3-dl614411-wh,4339,A3 DL 614411 Round White c/w 1*13W WW LED,no remote variant with matching SKU,no
A3 DL615511 AL,a3-dl615511-al,4340,A3 DL 615511 Aluminium c/w 1*7W WW LED Lamp,no remote variant with matching SKU,no
A3 DL619091/WW,a3-dl619091-ww,4341,A3 DL 619091 C/W 8W 3000K LED CRI 90 & DR,no remote variant with matching SKU,no
A3 DL61AA91 WH,a3-dl61aa91-wh,4342,A3 DL 61AA91 WHITE C/W 10.5W 3000K LUMILEDS LED &,no remote variant with matching SKU,no
A3 DL61AA94 WH,a3-dl61aa94-wh,4343,A3 DL 61AA94 WHITE C/W 6W 3000K LUMILEDS LED & DR,no remote variant with matching SKU,no
A3 DL61AG61 BK,a3-dl61ag61-bk,4344,A3 DL 61AG61 BLACK C/W 7.5W 3000K OSRAM LED & DR,no remote variant with matching SKU,no
A3 DL61AG61 WH/BK,a3-dl61ag61-wh-bk,4345,A3 DL 61AG61 WHITE/BLACK C/W 7.5W 3000K OSRAM LED &,no remote variant with matching SKU,no
A3 DL61AG71 BK,a3-dl61ag71-bk,4346,A3 DL 61AG71 BLACK C/W 15W 3000K OSRAM LED & DR,no remote variant with matching SKU,no
A3 DL61AG71 WH/BK,a3-dl61ag71-wh-bk,4347,A3 DL 61AG71 WHITE/BLACK C/W 15W 3000K OSRAM LED &,no remote variant with matching SKU,no
A3 DL61B211 WH,a3-dl61b211-wh,4348,A3 DL 61B211 WHITE C/W COB 60W 3000K LED (CITIZEN) &,no remote variant with matching SKU,no
A3 DL61B211 WH CW,a3-dl61b211-wh-cw,4349,A3 DL 61B211 WHITE C/W COB 60W 4000K LED (CITIZEN) &,no remote variant with matching SKU,no
A3 DL61B511 WH,a3-dl61b511-wh,4350,A3 DL 61B511 WHITE Ø65 C/W COB 1x7W 3000K LED (SHARP),no remote variant with matching SKU,no
A3 DL61B611 WH,a3-dl61b611-wh,4351,A3 DL 61B611 WHITE SQ C/W COB 1x7W 3000K LED (SHARP),no remote variant with matching SKU,no
A3 DL61B711 WH,a3-dl61b711-wh,4352,A3 DL 61B711 WHITE C/W 15W WW LED (CITIZEN) & GLP15CR,no remote variant with matching SKU,no
A3 DL61F211R WH,a3-dl61f211r-wh,4353,A3 DL 61F211R White c/w 3W (Cree) 3000K LED & Driver,no remote variant with matching SKU,no
A3 DL61H311F DGY,a3-dl61h311f-dgy,4354,A3 DL 61H311-F DARK GREY C/W 7W 3000K LED & DRIVER,no remote variant with matching SKU,no
A3 DL61J411-D SV,a3-dl61j411-d-sv,4355,A3 DL 61J411-D SILVER IP54 C/W 15W 3000K LED (CITIZEN),no remote variant with matching SKU,no
A3 DL61P431 WH,a3-dl61p431-wh,4356,A3 DL 61431 WHITE C/W 2x15W 3000K LUMILEDS LED & DR,no remote variant with matching SKU,no
A3 DL61T011 BK/BK,a3-dl61t011-bk-bk,4357,A3 DL YL61T011 BLACK/BLACK C/W 7W (30°) 3000K LUMILEDS,no remote variant with matching SKU,no
A3 DL61T011 WH/BK,a3-dl61t011-wh-bk,4358,A3 DL YL61T011 WHITE/BLACK C/W 7W (30°) 3000K LUMILEDS,no remote variant with matching SKU,no
A3 DL61T011 WH/CH,a3-dl61t011-wh-ch,4359,A3 DL YL61T011 WHITE/CHROME C/W 7W (30°),no remote variant with matching SKU,no
A3 DL61T011 WH/MBK,a3-dl61t011-wh-mbk,4360,A3 DL YL61T011 WHITE/MATT BLACK C/W 7W (30°) 3000K LED,no remote variant with matching SKU,no
A3 DL61T011 WH/WH,a3-dl61t011-wh-wh,4361,A3 DL YL61T011 WHITE/WHITE C/W 7W (30°) 3000K LUMILEDS,no remote variant with matching SKU,no
A3 DL61T011-TW WH /BK,a3-dl61t011-tw-wh-bk,4362,A3 DL YL61T011 WHITE/BLACK C/W 7W (30°) 2700K-65000K,no remote variant with matching SKU,no
A3 DL61T011-TW WH /WH,a3-dl61t011-tw-wh-wh,4363,A3 DL YL61T011 WHITE/WHITE C/W 7W (30°) 2700K-65000K,no remote variant with matching SKU,no
A3 DL61T111 BK/BK,a3-dl61t111-bk-bk,4364,A3 DL YL61T111 BLACK/BLACK C/W 15W (30°) 3000K LED & DR,no remote variant with matching SKU,no
A3 DL61T111 BK/CH 4K,a3-dl61t111-bk-ch-4k,4365,A3 DL YL61T111 BLACK/CHROME C/W 15W (30°),no remote variant with matching SKU,no
A3 DL61T111 BK/CH 6K,a3-dl61t111-bk-ch-6k,4366,A3 DL YL61T111 BLACK/CHROME C/W 15W (30°),no remote variant with matching SKU,no
A3 DL61T111 WH/BK,a3-dl61t111-wh-bk,4367,A3 DL YL61T111 WHITE/BLACK C/W 15W (30°) 3000K LED & DR,no remote variant with matching SKU,no
A3 DL61T111 WH/CH,a3-dl61t111-wh-ch,4368,A3 DL YL61T111 WHITE/CHROME C/W 15W (30°),no remote variant with matching SKU,no
A3 DL61T111 WH/WH,a3-dl61t111-wh-wh,4369,A3 DL YL61T111 WHITE/WHITE C/W 15W (30°) 3000K LED & DR,no remote variant with matching SKU,no
A3 DL61T111 WH/WH 4K,a3-dl61t111-wh-wh-4k,4370,A3 DL YL61T111 WHITE/WHITE C/W 15W (30°) 4000K LED & DR,no remote variant with matching SKU,no
A3 DL61T111 WH/WH 6K,a3-dl61t111-wh-wh-6k,4371,A3 DL YL61T111 WHITE/WHITE C/W 15W (30°) 6000K LED & DR,no remote variant with matching SKU,no
A3 DL61T111-TW WH /BK,a3-dl61t111-tw-wh-bk,4372,A3 DL YL61T111 WHITE/BLACK C/W 15W (30°) 2700K-65000K,no remote variant with matching SKU,no
A3 DL61T111-TW WH /WH,a3-dl61t111-tw-wh-wh,4373,A3 DL YL61T111 WHITE/WHITE C/W 15W (30°) 2700K-65000K,no remote variant with matching SKU,no
